id,name_he,name_en,name_ar,type,district,culture,status,has_coa,has_logo,notes,סוג_מגן,צבע_דומיננטי,color_1,color_2,color_3,color_4,color_5,תגיות_1,תגיות_2,תגיות_3,תגיות_4,תגיות_5,תגיות_6,תגיות_7,תגיות_8,תגיות_9,תגיות_10,שנת_אימוץ,מעצב,note_1,note_2,note_3,note_4,note_5,note_6,note_7,note_8,lat,lng
ps-wb-beit-jala,בית ג'אלה,Beit Jala,بيت جالا,city,West Bank,palestinian,found,yes,no,gov: Bethlehem | COA on English + Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7183,35.1883
ps-wb-beit-sahour,בית סאחור,Beit Sahour,بيت ساحور,city,West Bank,palestinian,found,yes,no,gov: Bethlehem | COA on Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6983,35.22
ps-wb-bethlehem,בית לחם,Bethlehem,بيت لحم,city,West Bank,palestinian,found,yes,no,gov: Bethlehem | COA on English + Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7054,35.2024
ps-wb-dura,דורא,Dura,دورا,city,West Bank,palestinian,found,yes,no,gov: Hebron | COA on Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4958,35.0144
ps-wb-halhul,חלחול,Halhul,حلحول,city,West Bank,palestinian,found,yes,no,gov: Hebron | COA on Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5819,35.105
ps-wb-hebron,חברון,Hebron,الخليل,city,West Bank,palestinian,found,yes,no,gov: Hebron | COA on English + Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5326,35.0998
ps-wb-yatta,יטא,Yatta,يطا,city,West Bank,palestinian,found,yes,no,gov: Hebron | COA on Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4358,35.1003
ps-wb-jenin,ג'נין,Jenin,جنين,city,West Bank,palestinian,found,yes,no,gov: Jenin | COA on Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4611,35.2961
ps-wb-jericho,יריחו,Jericho,أريحا,city,West Bank,palestinian,found,yes,no,gov: Jericho | COA on English + Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8569,35.4614
ps-wb-nablus,שכם,Nablus,نابلس,city,West Bank,palestinian,found,yes,no,gov: Nablus | COA on English + Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2211,35.2544
ps-wb-qalqilya,קלקיליה,Qalqilya,قلقيلية,city,West Bank,palestinian,found,yes,no,gov: Qalqilya | COA on Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1894,34.9697
ps-wb-ramallah,רמאללה,Ramallah,رام الله,city,West Bank,palestinian,found,yes,no,gov: Ramallah and al-Bireh | COA on English + Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9038,35.2034
ps-wb-al-bireh,אל-בירה,al-Bireh,البيرة,city,West Bank,palestinian,found,yes,no,gov: Ramallah and al-Bireh | COA on Arabic Wikipedia infobox,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.91,35.2228
