id,name_he,name_en,type,district,culture,status,has_coa,has_logo,population,size_tier,סוג_מגן,צבע_דומיננטי,תגיות_1,תגיות_2,תגיות_3,תגיות_4,תגיות_5,תגיות_6,תגיות_7,תגיות_8,תגיות_9,תגיות_10,שנת_אימוץ,מעצב,note_1,note_2,note_3,note_4,note_5,note_6,note_7,note_8,color_1,color_2,color_3,color_4,color_5,lat,lng
sajur,סג'ור,Sajur,local,north,druze,found,yes,no,7000,מועצה מקומית,חותם עגול,לא ידוע,שמש,גבעה,עץ,,,,,,,,,,חותם בצורת אליפסה,שמש זורחת מעל עץ על רקע גבעות,,,,,,,,,,,,32.9778,35.2739
mateh-yehuda,מועצה אזורית מטה-יהודה,Mateh Yehuda,regional,jerusalem,jewish,found,yes,no,57000,מועצה אזורית,מרובע,ירוק,אריה,שיבולת חיטה,גלגל שיניים,,,,,,,,,,חותם מרובע ירוק,אריה כסמל שבט יהודה,שתי שיבולים וגלגל חרושת מסמלים את ענפי הפעילות הכלכלית,,,,,,ירוק,לבן,,,,31.75,35.05
gedera,מועצה מקומית גדרה,Gedera,local,center,jewish,found,yes,no,30392,עיירה,חותם עגול,כחול,הר,גבעה,עץ,מוטו,,,,,,,1958,,אומץ בנובמבר 1958,גבעות צהובות על רקע כחול וחום עם עצים ירוקים,"""עלה נעלה וירשנו אותה"" (שלח לך)","""בית יעקב לכו ונלכה"" (יהושע)",,,,,כחול,חום,צהוב,ירוק,,31.8118,34.7726
menashe,מועצה אזורית מנשה,Menashe,regional,haifa,jewish,found,yes,no,15000,מועצה אזורית,חותם עגול,לבן,אריה,,,,,,,,,,2007,,אומץ בינואר 2007,חותם עגול בשחור ולבן,ציור של ראם כסמל שבט מנשה,,,,,,שחור,לבן,,,,32.5167,35.0833
megiddo,מועצה אזורית מגידו,Megiddo,regional,north,jewish,found,yes,no,12200,מועצה אזורית,חותם עגול,לא ידוע,מגן,שדה,מגדל מים,שיבולת חיטה,אריה,,,,,,,,חותם עגול עם שדה חרוש ויישוב עם מגדל מים,גבעות האזור ברקע,שיבולת חיטה לסמל אופי חקלאי,אריה מעל הציור,,,,,,,,,,32.5833,35.1833
baqa-gharbiyye,בקה-אל-גרביה,Baqa al-Gharbiyye,city,haifa,arab,found,yes,no,33000,עיירה,חותם עגול,כחול,מסגד,שדה,ציפור,פרח,,,,,,,,,חותם עגול משלושה חלקים בכחול אפור וירוק,צריח מסגד שדות חרושים ציפור ופרח,,,,,,,כחול,אפור,ירוק,לבן,,32.4179,35.0376
qalansawe,קלנסווה,Qalansawe,city,center,arab,found,yes,no,23877,עיירה,חותם עגול,לבן,מבנה עתיק,פרח,,,,,,,,,,,חותם עגול העטוף בקלפים,ציורי מבנים ותותי שדה ופרח,,,,,,,לבן,אדום,,,,32.2844,34.978
kiryat-yearim,מועצה מקומית קריית-יערים,Kiryat Ye'arim,local,jerusalem,jewish,found,yes,no,5000,מועצה מקומית,חותם עגול,ירוק,הר,עץ,לוחות הברית,,,,,,,,,,איור של הרים ועצים לצד לוחות הברית,האיור מוקף בקו ירוק ובו שם המועצה,,,,,,,ירוק,לבן,,,,31.8103,35.11
migdal,מועצה מקומית מגדל,Migdal,local,north,jewish,found,yes,no,3000,מועצה מקומית,חותם עגול,ירוק,דקל,נחל,,,,,,,,,,,חותם עגול המציג גדת נחל עליה צומח עץ דקל,שם המועצה יוצר עיגול סביב הדקל,,,,,,,,,,,,32.8333,35.5028
drom-hasharon,מועצה אזורית דרום-השרון,Drom HaSharon,regional,center,jewish,found,yes,no,34327,מועצה אזורית,חותם עגול,ירוק,מבנה עתיק,שדה,נחל,עץ,,,,,,,,,חותם עגול עם ציור של תל אפק,שדות חרושים ונחל הירקון למרגלות,עץ בחזית,,,,,,,,,,,32.2111,34.925
