id,name_en,status,file,source_wiki,source_file,size_kb,error,url
ps-wb-beit-jala,Beit Jala,ok-gif,emblems/png/ps-wb-beit-jala-COA.gif,en,BeitJala_Logo.gif,4,,
ps-wb-beit-sahour,Beit Sahour,ok-png,emblems/png/ps-wb-beit-sahour-COA.png,en,BeitSahour_Logo.jpg,14,,
ps-wb-bethlehem,Bethlehem,ok-svg,emblems/svg/ps-wb-bethlehem-COA.svg,en,Municipal_Seal_of_Bethlehem.svg,71,,
ps-wb-dura,Dura,not-found,,,,,,
ps-wb-halhul,Halhul,ok-svg,emblems/svg/ps-wb-halhul-COA.svg,en,Red_pog.svg,0,,
ps-wb-hebron,Hebron,not-found,,,,,,
ps-wb-yatta,Yatta,not-found,,,,,,
ps-wb-jenin,Jenin,not-found,,,,,,
ps-wb-jericho,Jericho,not-found,,,,,,
ps-wb-nablus,Nablus,not-found,,,,,,
ps-wb-qalqilya,Qalqilya,ok-gif,emblems/png/ps-wb-qalqilya-COA.gif,en,Qalqilya_Logo.gif,13,,
ps-wb-ramallah,Ramallah,not-found,,,,,,
ps-wb-al-bireh,al-Bireh,ok-png,emblems/png/ps-wb-al-bireh-COA.png,en,lossless-page1-250px-Seal_of_al-Bireh.tif.png,98,,
ps-wb-salfit,Salfit,download-error,,,,,429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/6/6f/Salfitlogo.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Salfitlogo.jpg
ps-wb-tubas,Tubas,not-found,,,,,,
ps-wb-tulkarm,Tulkarm,ok-png,emblems/png/ps-wb-tulkarm-COA.png,en,Tulkarm.png,44,,
ps-wb-bethlehem-governorate,Bethlehem Governorate,not-found,,,,,,
ps-wb-hebron-governorate,Hebron Governorate,not-found,,,,,,
ps-wb-jenin-governorate,Jenin Governorate,ok-png,emblems/png/ps-wb-jenin-governorate-COA.png,en,Jenin-new.jpg,78,,
ps-wb-jericho-governorate,Jericho Governorate,ok-png,emblems/png/ps-wb-jericho-governorate-COA.png,en,Jericho1.jpg,1942,,
ps-wb-jerusalem-governorate,Jerusalem Governorate,not-found,,,,,,
ps-wb-nablus-governorate,Nablus Governorate,not-found,,,,,,
ps-wb-qalqilya-governorate,Qalqilya Governorate,ok-png,emblems/png/ps-wb-qalqilya-governorate-COA.png,en,Qalqilia_Ha.jpg,2538,,
ps-wb-ramallah-and-al-bireh-governorate,Ramallah and al-Bireh Governorate,download-error,,,,,429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/7/72/%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%A1_%D9%81%D9%8A_%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%B1%D8%A7%D9%85_%D8%A7%D9%84%D9%84%D9%87.jpg,https://upload.wikimedia.org/wikipedia/commons/7/72/%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%A1_%D9%81%D9%8A_%D9%85%D8%AF%D9%8A%D9%86%D8%A9_%D8%B1%D8%A7%D9%85_%D8%A7%D9%84%D9%84%D9%87.jpg
ps-wb-salfit-governorate,Salfit Governorate,not-found,,,,,,
ps-wb-tubas-governorate,Tubas Governorate,not-found,,,,,,
ps-wb-tulkarm-governorate,Tulkarm Governorate,ok-png,emblems/png/ps-wb-tulkarm-governorate-COA.png,en,Tulkarm_Qalqilya_Cemetery.jpg,655,,
ps-wb-battir,Battir,ok-svg,emblems/svg/ps-wb-battir-COA.svg,en,Red_pog.svg,0,,
ps-wb-beit-fajjar,Beit Fajjar,ok-svg,emblems/svg/ps-wb-beit-fajjar-COA.svg,en,Red_pog.svg,0,,
ps-wb-nahhalin,Nahhalin,ok-svg,emblems/svg/ps-wb-nahhalin-COA.svg,en,Red_pog.svg,0,,
ps-wb-tuqu,Tuqu',ok-svg,emblems/svg/ps-wb-tuqu-COA.svg,en,Red_pog.svg,0,,
ps-wb-al-khader,al-Khader,download-error,,,,,429 Client Error: Too many requests (76af2b0) for url: https://upload.wikimedia.org/wikipedia/commons/0/0c/Red_pog.svg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Red_pog.svg
ps-wb-al-ubeidiyya,al-Ubeidiyya,not-found,,,,,,
ps-wb-beit-ummar,Beit Ummar,ok-svg,emblems/svg/ps-wb-beit-ummar-COA.svg,en,Red_pog.svg,0,,
ps-wb-idhna,Idhna,ok-svg,emblems/svg/ps-wb-idhna-COA.svg,en,Seal_of_Idhna.svg,51,,
ps-wb-sair,Sa'ir,ok-svg,emblems/svg/ps-wb-sair-COA.svg,en,Red_pog.svg,0,,
ps-wb-surif,Surif,ok-svg,emblems/svg/ps-wb-surif-COA.svg,en,Red_pog.svg,0,,
ps-wb-taffuh,Taffuh,download-error,,,,,429 Client Error: Too many requests (76af2b0) for url: https://upload.wikimedia.org/wikipedia/commons/0/0c/Red_pog.svg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Red_pog.svg
ps-wb-tarqumiyah,Tarqumiyah,ok-svg,emblems/svg/ps-wb-tarqumiyah-COA.svg,en,Red_pog.svg,0,,
ps-wb-arraba,Arraba,not-found,,,,,,
ps-wb-jaba,Jaba,not-found,,,,,,
ps-wb-kafr-dan,Kafr Dan,ok-svg,emblems/svg/ps-wb-kafr-dan-COA.svg,en,Red_pog.svg,0,,
ps-wb-kafr-rai,Kafr Ra'i,ok-svg,emblems/svg/ps-wb-kafr-rai-COA.svg,en,Red_pog.svg,0,,
ps-wb-qabatya,Qabatya,download-error,,,,,429 Client Error: Too many requests (76af2b0) for url: https://upload.wikimedia.org/wikipedia/commons/0/0c/Red_pog.svg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Red_pog.svg
ps-wb-yabad,Ya'bad,ok-svg,emblems/svg/ps-wb-yabad-COA.svg,en,Red_pog.svg,0,,
